Game ID,Result
4905801,1.81x
4905802,4.39x
4905803,5.39x
4905804,1.51x
4905805,1.1x
4905806,1.34x
4905807,1.9x
4905808,5.99x
4905809,2.25x
4905810,1.39x
4905811,1.07x
4905812,1.28x
4905813,2.45x
4905814,2.84x
4905815,1.1x
4905816,6.14x
4905817,24.43x
4905818,1.71x
4905819,5.3x
4905820,2.28x
4905821,1.39x
4905822,3.49x
4905823,16.26x
4905824,1.91x
4905825,1.02x
4905826,3.3x
4905827,27.63x
4905828,2.91x
4905829,1.25x
4905830,2.08x
4905831,1.51x
4905832,1x
4905833,2.66x
4905834,3.75x
4905835,1.1x
4905836,13.98x
4905837,1.62x
4905838,1.07x
4905839,3.23x
4905840,1.47x
4905841,4.67x
4905842,5.46x
4905843,1.74x
4905844,36.09x
4905845,3.82x
4905846,140.25x
4905847,1.17x
4905848,6.05x
4905849,1.74x
4905850,1.36x
4905851,4.19x
4905852,1.99x
4905853,4.85x
4905854,2.38x
4905855,2.78x
4905856,3.05x
4905857,1.92x
4905858,1.09x
4905859,1.44x
4905860,1.09x
4905861,4.86x
4905862,1.36x
4905863,1.41x
4905864,41.37x
4905865,12.59x
4905866,3.4x
4905867,2.19x
4905868,1.29x
4905869,16.37x
4905870,1.48x
4905871,4.54x
4905872,1.25x
4905873,1.05x
4905874,3.17x
4905875,1.13x
4905876,1x
4905877,2.38x
4905878,1.27x
4905879,1.13x
4905880,2.15x
4905881,1.26x
4905882,1.41x
4905883,3.69x
4905884,1.88x
4905885,1.16x
4905886,1.02x
4905887,1.47x
4905888,1.44x
4905889,8.88x
4905890,1.64x
4905891,1.01x
4905892,4.53x
4905893,5.99x
4905894,4.67x
4905895,1.29x
4905896,5.89x
4905897,2.03x
4905898,31.75x
4905899,1.11x
4905900,4.09x
4905901,1.09x
4905902,23.55x
4905903,4.71x
4905904,3.72x
4905905,2.77x
4905906,1.72x
4905907,5.65x
4905908,1.64x
4905909,6.58x
4905910,1.14x
4905911,3.35x
4905912,1.91x
4905913,2.24x
4905914,1.27x
4905915,2.89x
4905916,2.88x
4905917,83.23x
4905918,5.16x
4905919,5.87x
4905920,1.02x
4905921,1.68x
4905922,1.25x
4905923,1.57x
4905924,1.2x
4905925,1.69x
4905926,4.25x
4905927,7.11x
4905928,2.52x
4905929,1.67x
4905930,2.25x
4905931,1.21x
4905932,4.75x
4905933,4.68x
4905934,1.21x
4905935,1.08x
4905936,3.83x
4905937,1.2x
4905938,7.41x
4905939,1.21x
4905940,3.82x
4905941,4.05x
4905942,38.2x
4905943,1.57x
4905944,1.11x
4905945,2.69x
4905946,10.5x
4905947,2.52x
4905948,1.16x
4905949,1.74x
4905950,1.15x
4905951,2.57x
4905952,1.52x
4905953,1.19x
4905954,1.45x
4905955,1.35x
4905956,1.13x
4905957,7.45x
4905958,2.49x
4905959,1.82x
4905960,1.17x
4905961,1.42x
4905962,1.19x
4905963,1.37x
4905964,1.09x
4905965,3.05x
4905966,4.61x
4905967,1.28x
4905968,1.13x
4905969,1.24x
4905970,1x
4905971,2.9x
4905972,4.04x
4905973,2.08x
4905974,1.35x
4905975,4.03x
4905976,7.42x
4905977,8.5x
4905978,1.06x
4905979,1.58x
4905980,3.02x
4905981,2.01x
4905982,6.96x
4905983,7.15x
4905984,3.7x
4905985,1.24x
4905986,1.49x
4905987,1.11x
4905988,3.35x
4905989,5.07x
4905990,1.14x
4905991,1.83x
4905992,1.03x
4905993,1.17x
4905994,2.3x
4905995,1.16x
4905996,1.29x
4905997,2.01x
